strain,stage,hour,medianLength,medianWidth
dpy-1,L1,1,242.36003534,16.702932489210525
dpy-1,L1,1,237.34670789,16.448923411153846
dpy-1,L1,1,241.52448076500002,16.59157400065915
dpy-1,L1,1,239.01781704,16.93448344756097
dpy-1,L1,1,249.04447194,16.50637784547619
dpy-1,L1,1,238.182262465,16.083664102707104
dpy-1,L1,1,242.36003534,16.551920994634145
dpy-1,L1,1,239.01781704,17.033881370598213
dpy-1,L1,1,243.195589915,17.778916754975043
dpy-1,L1,1,231.49782586499998,15.342337566471732
dpy-1,L1,1,234.00448959,15.72058335654315
dpy-1,L1,1,240.68892619,17.066558580119047
dpy-1,L1,1,249.04447194,16.67612958324675
dpy-1,L1,1,246.53780821499998,16.90528762283213
dpy-1,L1,1,242.36003534,17.052194971538455
dpy-1,L1,1,240.68892619,17.37487510848837
dpy-1,L1,1,240.68892619,17.02596577326087
dpy-1,L1,1,244.866699065,16.692613370414474
dpy-1,L1,1,237.34670789,17.490937924545456
dpy-1,L1,1,238.182262465,17.12952463168743
dpy-1,L1,1,242.36003534,17.010106258023256
dpy-1,L1,1,242.36003534,16.624559435063293
dpy-1,L1,2,249.04447194,17.168957209032257
dpy-1,L1,2,250.71558109,16.8083192343617
dpy-1,L1,2,245.70225364,15.179972887586203
dpy-1,L1,2,239.01781704,16.474594541382974
dpy-1,L1,2,249.04447194,17.62044514920412
dpy-1,L1,2,244.03114449,16.976546633014042
dpy-1,L1,2,244.03114449,17.187931072625
dpy-1,L1,2,249.880026515,17.251012294482607
dpy-1,L1,2,235.67559874,16.857198103535353
dpy-1,L1,2,250.71558109,16.381893237777778
dpy-1,L1,2,240.68892619000002,16.297686453132137
dpy-1,L1,2,249.04447194,17.370305228464243
dpy-1,L1,2,254.05779939,16.270847309319535
dpy-1,L1,2,251.551135665,16.891542764069186
dpy-1,L1,2,247.37336279,17.56083569892157
dpy-1,L1,2,249.04447194,16.24326265193182
dpy-1,L1,2,250.71558109,16.762968258252798
dpy-1,L1,2,248.208917365,16.83781811347321
dpy-1,L1,2,244.86669906499998,16.15806033739698
dpy-1,L1,2,244.03114449,16.26975248193517
dpy-1,L1,2,254.05779938999999,17.53777219712841
dpy-1,L1,2,245.70225364,16.401314511729048
dpy-1,L1,3,244.03114449,16.92651339645833
dpy-1,L1,3,249.880026515,16.435191987287485
dpy-1,L1,3,251.551135665,15.89592448080128
dpy-1,L1,3,245.70225364,16.736195582765568
dpy-1,L1,3,245.70225364,16.417826938969068
dpy-1,L1,3,260.74223599000004,16.5213159984
dpy-1,L1,3,250.71558109,16.30356584416979
dpy-1,L1,3,246.53780821499998,17.196356555219218
dpy-1,L1,3,249.04447194,16.930184993033706
dpy-1,L1,3,254.05779938999999,16.95059134031579
dpy-1,L1,3,252.38669024,16.24783289102564
dpy-1,L1,3,264.08445429,16.80256536034483
dpy-1,L1,3,266.591118015,17.376864756763634
dpy-1,L1,3,252.38669024,16.684986195652172
dpy-1,L1,3,264.08445429,16.94573528441176
dpy-1,L1,3,245.70225364,16.879831668571427
dpy-1,L1,3,249.04447194,16.906828330481925
dpy-1,L1,3,262.41334514,16.31965093392857
dpy-1,L1,3,257.40001769,16.90472859011111
dpy-1,L1,3,252.38669024,16.95621995056818
dpy-1,L1,3,254.89335396500002,16.733029919032347
dpy-1,L1,3,256.564463115,16.85599941801864
dpy-1,L1,4,260.74223599000004,17.633529384272727
dpy-1,L1,4,260.74223599000004,17.430517814491523
dpy-1,L1,4,259.07112684000003,16.85347022223529
dpy-1,L1,4,259.07112684000003,17.976541062394443
dpy-1,L1,4,263.248899715,17.19825019142105
dpy-1,L1,4,250.71558109,17.029213197809526
dpy-1,L1,4,262.41334514,17.04529966683662
dpy-1,L1,4,257.40001769,17.052194971538455
dpy-1,L1,4,259.07112684000003,17.097858795058173
dpy-1,L1,4,264.08445429,16.855737873533023
dpy-1,L1,4,260.74223599000004,17.0898994440625
dpy-1,L1,4,267.42667259,16.879831668571427
dpy-1,L1,4,260.74223599000004,16.82310450556962
dpy-1,L1,4,264.08445429,16.95059134031579
dpy-1,L1,4,269.09778173999996,16.879831668571427
dpy-1,L1,4,260.74223599000004,17.10642162865168
dpy-1,L1,4,259.07112684000003,16.5213159984
dpy-1,L1,4,259.90668141500004,17.073380378926647
dpy-1,L1,4,259.90668141500004,17.30470517619984
dpy-1,L1,4,267.42667259,17.052194971538455
dpy-1,L1,4,268.262227165,17.309295195480054
dpy-1,L1,4,265.75556344,17.811368171123593
dpy-1,L1,5,269.09778173999996,17.51234343213795
dpy-1,L1,5,257.40001769,16.879831668571427
dpy-1,L1,5,274.11110919,17.388615349278197
dpy-1,L1,5,264.08445429,17.280803141789473
dpy-1,L1,5,258.23557226500003,17.493559091084556
dpy-1,L1,5,262.41334514000005,17.32920034299741
dpy-1,L1,5,265.75556344,17.776120843999998
dpy-1,L1,5,269.93333631499996,17.100813566883517
dpy-1,L1,5,264.08445429,17.227120175265235
dpy-1,L1,5,259.07112684000003,17.3908737422807
dpy-1,L1,5,280.79554579,17.596128345655735
dpy-1,L1,5,275.78221834,17.743443634479167
dpy-1,L1,5,269.09778173999996,17.0898994440625
dpy-1,L1,5,279.12443664,17.82513665828125
dpy-1,L1,5,277.45332749,17.526916751984874
dpy-1,L1,5,278.288882065,17.95686761262877
dpy-1,L1,5,280.79554579,17.041325213693693
dpy-1,L1,5,267.42667259,17.9329714497
dpy-1,L1,5,271.60444546499997,17.9099726102975
dpy-1,L1,5,270.76889088999997,17.70999411147876
dpy-1,L1,5,271.60444546499997,17.144924703464135
dpy-1,L1,5,283.302209515,17.303389161092742
dpy-1,L1,6,284.13776409,18.171780029549545
dpy-1,L1,6,277.45332749,18.41333079554333
dpy-1,L1,6,288.31553696500004,18.12892445569635
dpy-1,L1,6,291.657755265,18.71211924624606
dpy-1,L1,6,287.47998239000003,17.56083569892157
dpy-1,L1,6,295.83552814,18.32168816817391
dpy-1,L1,6,279.12443664,18.009203037784967
dpy-1,L1,6,284.13776409,17.91871230372727
dpy-1,L1,6,278.288882065,18.37002119567961
dpy-1,L1,6,281.631100365,17.620529360134746
dpy-1,L1,6,275.78221834,18.000193137857142
dpy-1,L1,6,284.13776409,17.407060595294116
dpy-1,L1,6,274.946663765,18.226843778743582
dpy-1,L1,6,282.46665494,18.140238321517856
dpy-1,L1,6,287.47998239000003,17.299967219553572
dpy-1,L1,6,282.46665494,17.504648641826922
dpy-1,L1,6,287.47998239000003,18.066096753697476
dpy-1,L1,6,274.946663765,17.70713562390046
dpy-1,L1,6,279.959991215,17.751901733814705
dpy-1,L1,6,295.83552814,18.00019313785714
dpy-1,L1,6,280.79554579,16.80404251035504
dpy-1,L1,6,282.46665494,17.98931584203883
dpy-1,L1,7,282.46665494,19.130928324451055
dpy-1,L1,7,277.45332749,17.953385583210434
dpy-1,L1,7,287.47998239000003,18.41514183018518
dpy-1,L1,7,291.657755265,19.121151894344926
dpy-1,L1,7,297.50663728999996,18.307389024596773
dpy-1,L1,7,285.80887324,18.459230128745038
dpy-1,L1,7,291.657755265,18.285631508955902
dpy-1,L1,7,292.49330984,18.10792020221154
dpy-1,L1,7,292.49330984,18.730863661304348
dpy-1,L1,7,288.315536965,19.077644174098154
dpy-1,L1,7,304.19107389,18.310284295633885
dpy-1,L1,7,292.49330984,18.519208171659166
dpy-1,L1,7,280.79554579,18.236599686422014
dpy-1,L1,7,294.16441899,18.298956196333332
dpy-1,L1,7,294.999973565,19.05809666066614
dpy-1,L1,7,293.328864415,18.051045970747932
dpy-1,L1,7,289.15109154000004,17.884293675517238
dpy-1,L1,7,302.51996474,18.669345698896812
dpy-1,L1,7,289.15109154000004,17.970449028053096
dpy-1,L1,7,292.49330984,18.62465690762295
dpy-1,L1,7,280.79554579,18.331806012743492
dpy-1,L1,7,295.83552813999995,18.14021768110759
dpy-1,L1,8,294.16441899,19.26059979080357
dpy-1,L1,8,310.87551049,18.899745502031205
dpy-1,L1,8,311.711065065,18.16586935575338
dpy-1,L1,8,297.50663728999996,19.359664200956487
dpy-1,L1,8,284.973318665,18.390184065728736
dpy-1,L1,8,289.986646115,18.975364521217557
